State,Year,Beach ID,Beach Name,County,Beach Access,Beach Owner,BeachLength (Mi),Tier,Start Latitude,Start Longitude,End Latitude,End Longitude,Waterbody Name,Waterbody Type,AdvisoryReportingFrequency(to EPA),AdvisoryReportingFrequencyUnits
MA,2021,MA690649,333 Commercial Street,BARNSTABLE,Public,Public,0.085,2,42.05136,-70.18498,42.05228,-70.184,,,,
MA,2021,MA720593,451 Commercial Street,BARNSTABLE,Public,Public,0.057,2,42.0552,-70.17986,42.05573,-70.17901,,,,
MA,2021,MA576153,593 Commercial Street,BARNSTABLE,Public,Public,0.022,2,42.05934,-70.17073,42.05946,-70.17033,,,,
MA,2021,MA323358,637 Commercial Street,BARNSTABLE,Public,Public,0.232,2,42.05993,-70.16854,42.06088,-70.1642,,,,
MA,2021,MA345007,915 Craigville Road,BARNSTABLE,null,,0.114,,41.63586392,-70.33564946,41.6362886,-70.33783551,Atlantic Ocean,Open Coast,,
MA,2021,MA280847,Acapesket Improvement Association,BARNSTABLE,Private,Private,0.227,2,41.54672,-70.57449,41.5476,-70.57075,,,,
MA,2021,MA860803,Allen Harbor,BARNSTABLE,Private,Private,0.158,2,41.66143,-70.09268,41.6612,-70.08966,,,,
MA,2021,MA356010,Andrew Harding Lane Beach,BARNSTABLE,Public,Public,0.046,2,41.6749,-69.9476,41.6758,-69.9469,,,,
MA,2021,MA551265,Asa Landing,BARNSTABLE,null,,0.013,,41.7996762,-69.9718434,41.8000098,-69.97165363,Atlantic Ocean,Open Coast,,
MA,2021,MA244219,Atkins Lane,BARNSTABLE,Public,Public,0.066,2,42.05728,-70.17625,42.05777,-70.17516,,,,
MA,2021,MA751175,Atlantic Avenue,BARNSTABLE,Public,Public,0.051,2,42.04691,-70.18983,42.04628,-70.19038,,,,
MA,2021,MA914656,Atlantic Avenue,BARNSTABLE,Public,Public,0.027,2,41.66375,-70.08099,41.66381,-70.08048,,,,
MA,2021,MA574201,BIG SANDY POND,BARNSTABLE,null,,0.019,,,,,,Big Sandy Pond,,,
MA,2021,MA344031,Ballston,BARNSTABLE,Public,Public,0.137,3,42.00167,-70.0215,41.99994,-70.02019,,,,
MA,2021,MA987337,Bank Street - Bayview Rd,BARNSTABLE,Public,Public,0.06,2,41.66343,-70.0722,41.66314,-70.07112,,,,
MA,2021,MA598431,Barley Neck,BARNSTABLE,null,,0.022,,41.77009311,-69.95336873,41.76988127,-69.95291807,Atlantic Ocean,Open Coast,,
MA,2021,MA042789,Barlows Landing,BARNSTABLE,Public,Public,0.061,2,41.69181,-70.62651,41.69092,-70.62651,,,,
MA,2021,MA838168,Barnstable Yacht Club,BARNSTABLE,Private,Private,0.04,2,41.7094,-70.31445,41.70939,-70.31373,,,,
MA,2021,MA533969,Bass River,BARNSTABLE,null,,0.147,,,,,,Atlantic Ocean,Open Coast,,
